[2025-06-02 00:00:02,218.218] DEBUG    [ThreadPoolExecutor-0_9|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.com:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:08,458.458] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-06-02 00:00:08,459.459] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: S1ygBvp4LCjGJmptHWBNELWJ5+E=
[2025-06-02 00:00:08,459.459] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-06-02 00:00:08,459.459] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > TEXT '{"action": "send_group_msg", "params": {"group_...]}, "echo": 1748793608}' [466 bytes]
[2025-06-02 00:00:08,921.921] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"status":"ok","retcode":0,"data":{"message_id"...":"","echo":1748793608}' [104 bytes]
[2025-06-02 00:00:08,921.921] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-06-02 00:00:08,922.922] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:08,922.922] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:08,923.923] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-06-02 00:00:08,923.923] DEBUG    [MainThread|MainProcess] Logger (function_enhance.py:check_and_log:76) | {'status': 'ok', 'retcode': 0, 'data': {'message_id': 1742701044}, 'message': '', 'wording': '', 'echo': 1748793608}
[2025-06-02 00:00:10,684.684] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3909177943,"user_id":1633360356,"tim...","group_id":962286341}' [433 bytes]
[2025-06-02 00:00:10,685.685] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:166) | {'group_id': '962286341', 'user_id': '1633360356', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1633360356, 'nickname': '蚊子没有🐴', 'card': ''}", 'raw_message': 'xy 3 3', 'message_id': '1849539265', 'message_seq': '1849539265', 'real_id': '1849539265', 'message': "[{'type': 'text', 'data': {'text': 'xy 3 3'}}]", 'message_format': 'array'}
[2025-06-02 00:00:10,725.725] DEBUG    [MainThread|MainProcess] matplotlib.pyplot (pyplot.py:switch_backend:497) | Loaded backend tkagg version 8.6.
[2025-06-02 00:00:10,900.900] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,901.901] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,901.901] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,901.901] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,901.901] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 1189
[2025-06-02 00:00:10,909.909] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,909.909] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,910.910] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,910.910] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,910.910] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 2994
[2025-06-02 00:00:10,927.927] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,927.927] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,927.927] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,927.927] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,928.928] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 696
[2025-06-02 00:00:10,929.929] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,929.929] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,930.930] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,930.930] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,930.930] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 526
[2025-06-02 00:00:10,931.931] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,931.931] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,932.932] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,932.932] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,932.932] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 499
[2025-06-02 00:00:10,933.933] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,933.933] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,934.934] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,934.934] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,934.934] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 673
[2025-06-02 00:00:10,935.935] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,936.936] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,936.936] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,936.936] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,936.936] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 922
[2025-06-02 00:00:10,937.937] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,938.938] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,938.938] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,938.938] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,938.938] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 568
[2025-06-02 00:00:10,939.939] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IHDR' 16 13
[2025-06-02 00:00:10,940.940] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'sBIT' 41 4
[2025-06-02 00:00:10,940.940] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:_open:780) | b'sBIT' 41 4 (unknown)
[2025-06-02 00:00:10,940.940] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'pHYs' 57 9
[2025-06-02 00:00:10,940.940] DEBUG    [MainThread|MainProcess] PIL.PngImagePlugin (PngImagePlugin.py:call:200) | STREAM b'IDAT' 78 626
[2025-06-02 00:00:10,943.943] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1471) | findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2025-06-02 00:00:10,944.944] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,944.944] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,944.944] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-06-02 00:00:10,944.944] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-06-02 00:00:10,945.945] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
[2025-06-02 00:00:10,945.945] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
[2025-06-02 00:00:10,945.945] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,945.945] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,946.946] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2025-06-02 00:00:10,946.946] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,946.946] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-02 00:00:10,946.946] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-06-02 00:00:10,946.946] DEBUG    [MainThread|MainProcess] matplotlib.font_manager (font_manager.py:_findfont_cached:1483) | findfont: score(FontEntry(fname='D:\\G\\QQBot\\.venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
